Longitude,Latitude
13.0083791,51.9905909
13.008429,51.9905498
13.0085923,51.9903222
13.0089274,51.9899641
13.0091449,51.9896966
13.0094163,51.9894582
13.0096612,51.9892937
13.0099616,51.9891194
13.0109236,51.9887996
13.0114409,51.9886699
13.0122224,51.9885903
13.0131483,51.9886152
13.0141331,51.9887779
13.0146686,51.9889437
13.0152347,51.9891529
13.0176741,51.9903377
13.0190423,51.9909434
13.019085,51.9909642
13.0191694,51.9910118
13.020892,51.9918327
13.0222921,51.9925126
13.0249796,51.9938176
13.0258752,51.994306
13.0259693,51.9943481
13.0260735,51.994356
