Longitude,Latitude
13.0075335,51.9897903
13.0073711,51.9899459
13.0067853,51.9910595
13.0066254,51.9913451
13.0065487,51.9915969
13.0065051,51.9920015
13.0064882,51.9920862
13.0064492,51.9922239
13.0063993,51.9923436
13.0063203,51.992459
13.0062486,51.9925474
13.0061619,51.9926257
13.0060742,51.9926885
13.0059666,51.9927525
13.005778,51.9928568
13.0056313,51.9929231
13.0055025,51.9929756
13.0053719,51.9930193
13.0052531,51.9930516
13.005118,51.9930822
13.004981,51.9931013
13.0048537,51.9931103
13.004705,51.9931118
13.0044962,51.9931053
13.0043304,51.9930901
13.0041646,51.9930656
13.0040075,51.9930348
13.003861,51.9929899
13.0036636,51.9929215
13.0035153,51.9928837
13.003353,51.9928509
13.0031277,51.9928144
13.0029519,51.9927931
13.0027754,51.9927846
13.002604,51.9927849
13.0024056,51.9927914
13.0022163,51.9928071
13.002046,51.9928353
13.0018947,51.9928694
13.001743,51.9929083
13.001565,51.9929639
13.0014081,51.9930225
13.0012814,51.9930832
13.0011577,51.9931475
13.0010006,51.9932483
13.000896,51.9933215
13.0007967,51.9934029
13.0007129,51.9934888
13.0006414,51.993569
13.0005813,51.9936598
13.0005365,51.9937401
13.0004982,51.9938186
13.000466,51.9939136
13.0004474,51.9940129
13.0005038,51.9943371
13.0005446,51.9946062
13.0007446,51.9946768
13.0008323,51.9947314
13.0009492,51.9948616
13.0009756,51.9949251
13.0010356,51.9949618
13.0010863,51.9949977
13.0013566,51.9963262
13.0013956,51.9964971
13.0015957,51.9975117
13.0016845,51.9979622
13.0019435,51.9992647
13.0019468,51.9993705
13.0019344,51.9994539
13.0018938,51.9995617
13.0018367,51.9997131
13.0013955,52.0007681
13.001382,52.0008004
