Longitude,Latitude
10.4517556,50.9907956
10.4545173,50.9902895
10.4585031,50.98955
10.4607627,50.9891333
10.4617605,50.9889419
10.4621961,50.9888561
10.4630147,50.9886948
10.4642367,50.9884385
10.4654115,50.9881801
10.4666195,50.9878781
10.4678217,50.9875608
10.468984,50.9872129
10.4691231,50.9871665
10.4701126,50.9868362
10.471278,50.986427
10.4725958,50.9859164
10.4738886,50.9853654
10.4749236,50.9848887
10.475353,50.984666
10.4759547,50.984354
10.4768999,50.9838543
10.4778432,50.9833039
10.4789003,50.9826423
10.4794515,50.9822674
10.4800509,50.9818374
10.4801304,50.9817803
10.4810368,50.9811082
10.4814596,50.9807712
10.4820484,50.980281
10.4823275,50.9800334
10.4824976,50.9798726
