Longitude,Latitude
10.4826673,50.979944
10.4825099,50.9800852
10.4820917,50.9804769
10.4812703,50.9811374
10.4802728,50.981896
10.479579,50.9823881
10.4790513,50.9827494
10.4779525,50.9834246
10.4770026,50.9839881
10.4755044,50.9847752
10.4750067,50.9850173
10.4739638,50.9854999
10.4726436,50.9860596
10.4713304,50.9865728
10.4701841,50.9869742
10.469041,50.987345
10.4678635,50.9876989
10.4666696,50.988017
10.4654563,50.9883111
10.4642572,50.988582
10.463033,50.9888327
10.4622835,50.9889861
10.4617719,50.9890877
10.4607992,50.9892699
10.4585372,50.9896949
10.4545396,50.9904346
10.4518175,50.9909334
