Longitude,Latitude
10.7264121,51.4902235
10.726868,51.4902455
10.7273609,51.4902681
10.7278844,51.4902869
10.7286489,51.4903065
10.7291626,51.490313
10.7300166,51.4903185
10.7305335,51.4903179
10.7310493,51.4903088
10.7318173,51.49029
10.7320577,51.4902829
10.7325156,51.4902693
10.7332733,51.4902371
10.7338675,51.4902052
10.7355446,51.4900876
10.7363541,51.4900137
10.7371267,51.4899334
10.7386718,51.489747
10.7394216,51.4896377
10.7402063,51.4895223
10.7411204,51.4893744
10.7418258,51.4892476
10.7431735,51.4889813
10.7441962,51.4887664
10.745043,51.4885672
10.7459187,51.4883439
10.7462946,51.488248
