Longitude,Latitude
10.6861902,51.4594221
10.6860516,51.4588623
10.6859275,51.4582305
10.6857109,51.4574312
10.6852414,51.4554692
10.6851355,51.4550403
10.6850142,51.4545622
10.6847752,51.45378
10.6845404,51.453142
10.6843902,51.4527933
10.6841691,51.4523344
10.6839931,51.4520261
10.6837237,51.4515593
10.6834519,51.4511595
10.6830992,51.4506826
10.6827942,51.4503186
10.6826087,51.4501052
10.6822619,51.4497291
10.6818472,51.4493156
10.6814598,51.4489686
10.6810228,51.4485852
10.6806672,51.4482846
10.6801735,51.4479491
