Latitude,Longitude
34.7054306,37.6545309
34.7040392,37.6543908
34.7036236,37.6544105
34.703488,37.6544587
34.7032162,37.6545553
34.702929,37.6547569
34.7028505,37.654812
34.7025595,37.6550029
34.7022769,37.6551082
34.7020109,37.6551476
34.701695,37.6551411
34.7002615,37.6548999
34.6993092,37.6547396
34.6986026,37.6545948
34.6981953,37.654529
34.6979625,37.6544303
34.6977464,37.6542789
34.69763,37.6540749
34.6973806,37.6537063
34.6971478,37.6535286
34.6968153,37.6533509
34.6962833,37.653239
34.6944462,37.6529495
34.6929302,37.6526484
