Latitude,Longitude
34.6969708,37.6245494
34.6969376,37.6246383
34.6964889,37.6249015
34.6960318,37.6251549
34.695795,37.6252734
34.6954128,37.6254972
34.694748,37.6257472
34.6942993,37.6259677
34.6937717,37.6262277
34.6934975,37.6263099
34.6933936,37.6264251
34.6934144,37.6266028
34.6936013,37.6271819
34.6939254,37.6279157
34.6939337,37.6281921
34.6937717,37.6286528
34.6937467,37.6288831
34.6937758,37.6292681
34.6938922,37.6295807
34.6941373,37.6301302
34.6944073,37.6305777
34.6944115,37.6307586
34.694345,37.6308968
34.6938174,37.631295
34.693431,37.6317688
34.6931443,37.6322327
34.6928784,37.6325683
34.6926956,37.6326144
34.6923217,37.6326374
34.6922386,37.6326835
34.6921929,37.6327559
34.6922137,37.6332692
34.6921472,37.6337397
34.6920932,37.634118
34.6919394,37.6347892
34.6917608,37.6351347
34.6911334,37.6358454
34.6908592,37.6362665
34.6906847,37.6364508
34.6903316,37.6366646
34.6901488,37.6366581
34.689966,37.6365199
34.6897416,37.6362797
34.6894425,37.6360264
34.6893344,37.6360165
34.6892513,37.6361415
34.6892264,37.6364409
34.6890768,37.6371614
34.6890852,37.6375793
34.6890104,37.637882
34.6889647,37.6380202
34.6888725,37.6380763
34.688713,37.6381222
34.6881373,37.6382124
34.6877896,37.6382314
34.6874538,37.6382219
34.6872619,37.6382409
34.6869441,37.6383311
34.6865784,37.6383311
34.6862486,37.6382836
34.685727,37.6382124
34.6855531,37.6382076
34.6853672,37.6382409
34.6851993,37.6383833
34.6849775,37.6389293
34.6847976,37.6391335
34.68424,37.6393804
34.6840901,37.6393946
34.6836703,37.6393044
