Longitude,Latitude
12.0729453,52.3531501
12.0728238,52.3530202
12.0727514,52.3529327
12.0726535,52.3528078
12.0726013,52.3527214
12.0725745,52.3526473
12.0725636,52.352587
12.0725665,52.3525367
12.0725847,52.3524764
12.0726327,52.3523981
12.0726846,52.3523328
12.0727604,52.3522445
12.0728364,52.3521572
12.0728839,52.3520788
12.0729075,52.3520051
12.07292,52.3519292
12.0729158,52.3517633
12.0729251,52.3516551
12.0729489,52.3515498
12.0730032,52.351415
12.0730495,52.3513088
12.0730662,52.3512334
12.0730876,52.35105
