Longitude,Latitude
11.9980118,52.3572239
11.9982437,52.3572816
11.9986272,52.3573553
11.9992035,52.3574704
11.9999946,52.3576283
12.000308,52.3577206
12.0010706,52.3580044
12.00198,52.3583443
12.0024095,52.3585035
12.0029574,52.3587177
12.0039523,52.3590924
12.0042963,52.3592289
12.0048288,52.3594243
12.0051147,52.3595294
12.0056522,52.3597236
12.0061211,52.3598876
12.0064049,52.360002
12.0068684,52.3601893
12.0070853,52.3602763
12.0081657,52.3606932
12.0106332,52.3616219
12.0125353,52.3623312
12.0142402,52.3629842
12.014902,52.3632224
12.0161774,52.3636988
12.0170671,52.3640441
12.0181365,52.3644321
12.0189649,52.3647319
12.0203148,52.3652243
12.0214455,52.3656605
