Longitude,Latitude
12.002766,52.3168543
12.0023511,52.3167067
12.0013773,52.3162736
12.0011681,52.3162129
12.0009196,52.3161615
12.0006498,52.3160703
12.0004493,52.3159883
12.0000391,52.3157761
11.9997154,52.3156268
11.9984486,52.315283
11.997943,52.315151
11.9969205,52.3147933
11.9954776,52.3141787
11.9950118,52.3140016
11.9944381,52.3138939
11.993978,52.3137967
11.9933986,52.3135709
11.9927794,52.3133765
11.9920125,52.31305
11.991257,52.3126541
11.9907116,52.312352
11.990386,52.3120938
11.9899856,52.31192
11.9893318,52.3116873
11.9891227,52.3115621
11.9887099,52.3112652
11.9879704,52.3107335
11.987513,52.3104098
11.9870535,52.3101547
11.9868883,52.3099928
11.9866577,52.3097451
11.9863182,52.309496
11.9860019,52.3092396
11.9856132,52.3089148
11.9853978,52.3087558
11.9848252,52.3085278
11.9840669,52.308207
11.9835255,52.3079934
11.9828046,52.3077135
11.9814973,52.3071708
11.9809077,52.3069268
11.9797117,52.3064366
11.9780778,52.3057669
11.9766585,52.3051865
