Longitude,Latitude
12.004432,52.3463198
12.0042707,52.3462481
12.0040105,52.3461572
12.0028357,52.3456435
12.0025447,52.3454886
12.0025139,52.3454329
12.0027029,52.3451011
12.003167,52.344621
12.0033038,52.3444064
12.0036578,52.3440623
12.0037141,52.3439607
12.003867,52.3437689
12.0041594,52.3435445
12.0046261,52.3430561
12.0047468,52.3428759
12.0049104,52.3426514
12.0054951,52.3420467
12.0057915,52.3416719
12.0069972,52.3401819
12.0071152,52.3400442
12.007252,52.3397754
12.0072681,52.3396017
12.0073459,52.3392363
12.0073727,52.3389085
12.0074183,52.3386873
12.0074598,52.3381211
