Longitude,Latitude
12.0773842,52.3358077
12.0777282,52.3358113
12.0780786,52.3358265
12.0784002,52.3358567
12.0787959,52.3358522
12.0790375,52.3358481
12.0795397,52.3358149
12.0798662,52.3358325
12.0803625,52.3358214
12.0808622,52.3358295
12.0813231,52.3358179
12.0818294,52.3358023
12.0822746,52.3358144
12.0825096,52.3358255
12.082602,52.3358592
12.0827388,52.336033
12.0829442,52.3362844
12.0832014,52.3365404
12.0834356,52.3367681
12.083706,52.3370759
12.0838453,52.3372066
12.0840566,52.3374478
12.0844649,52.3378829
12.0847764,52.3382169
12.0850362,52.3384144
12.0852321,52.3386937
12.0854677,52.3389901
12.0858688,52.339409
12.086116,52.339647
12.0864728,52.3400545
12.0867667,52.340368
12.0872354,52.3408909
12.0876682,52.3413865
12.087839,52.3416001
12.0879799,52.3417614
12.0888516,52.3427232
12.0894789,52.3434014
12.089894,52.3438373
12.0900229,52.3439689
12.0900444,52.3440136
12.0900257,52.344082
12.0899801,52.3441339
12.0899221,52.3441656
12.0898495,52.3441871
12.0897459,52.3441922
12.089493,52.3441934
12.089292,52.3441985
12.08912,52.3442112
12.0890101,52.344234
12.0889334,52.3442745
12.0888567,52.3443568
12.0886184,52.3447341
12.0885251,52.3450456
12.0884609,52.3454406
12.0884878,52.3455229
12.0885521,52.345623
12.0889355,52.346037
12.0894482,52.34658
