Longitude,Latitude
12.1157686,52.3545378
12.1134741,52.3545083
12.1106214,52.3544791
12.10851,52.3544712
12.1058308,52.3544262
12.1037758,52.3544156
12.1012381,52.3544023
12.1009915,52.354401
12.1002295,52.354397
12.0983739,52.3543759
12.0969574,52.3543802
12.0960557,52.354383
12.0960059,52.3543798
12.0958248,52.35438
12.0952968,52.3543898
12.0949833,52.354388
12.0948009,52.354373
12.094311,52.3543703
12.0934699,52.3543769
12.0927903,52.3543614
12.0924288,52.3543721
12.0920886,52.354368
12.0916513,52.3543597
12.0911809,52.3543518
12.0909453,52.354365
