Longitude,Latitude
12.0519639,52.3292842
12.052275,52.3293793
12.0527792,52.3299497
12.0527632,52.3301497
12.0531319,52.3306592
12.0533414,52.330904
12.0535324,52.3310245
12.0537481,52.3310735
12.0559665,52.3313408
12.0562314,52.3317136
12.0574515,52.3317814
12.0604001,52.3342461
12.0612302,52.3346377
12.0621354,52.3350749
12.0627217,52.335341
12.063295,52.3356228
12.0635807,52.3357628
12.0640462,52.3359459
12.0646001,52.3362251
12.0653803,52.3365846
12.065917,52.3368309
12.0662575,52.3369889
12.0666907,52.3371795
12.0756635,52.3411862
12.0808728,52.3435238
