Longitude,Latitude
12.0378265,52.3289652
12.0377357,52.3289318
12.0376241,52.3288842
12.0375463,52.3288447
12.0373921,52.3287622
12.037169,52.3286348
12.0370911,52.3285935
12.0369825,52.3285504
12.0369017,52.3285029
12.0367813,52.3284221
12.0366829,52.3283422
12.0366154,52.3283063
12.0365464,52.3282875
12.0364921,52.3282687
12.0363585,52.3281879
12.0360325,52.3280237
12.0357697,52.32789
12.0353585,52.3276926
12.0349122,52.3274682
12.0343851,52.3272591
12.0342678,52.3272056
12.0340195,52.3271021
12.0339035,52.3270429
12.0336979,52.3269101
12.0335173,52.3267791
12.0333793,52.3267136
12.0332471,52.3266552
12.0330812,52.3265466
12.0327905,52.326386
12.0327024,52.3263187
12.0325805,52.3262146
12.0324249,52.3261348
12.0321621,52.326028
12.032005,52.3259589
12.0316673,52.3257911
12.0314088,52.3256457
12.0312106,52.3255317
12.0310197,52.3254519
12.0308538,52.3253765
12.0304515,52.3251764
12.0298275,52.3248659
12.0293518,52.3246496
12.0288981,52.3244279
12.028644,52.3242736
12.0283827,52.324112
12.0281301,52.3239541
12.0278717,52.3238258
12.0269173,52.3233151
12.0268278,52.3232712
12.026703,52.3232164
12.0265121,52.3231518
12.0263799,52.3230917
12.0262493,52.3230118
12.026054,52.3228906
12.0258161,52.3227417
12.0255871,52.3226313
12.0253198,52.3225317
12.025035,52.3223728
12.0245607,52.3221341
12.0239279,52.3218155
12.0234125,52.3215911
12.0230058,52.3214134
12.0227151,52.3212636
12.0222628,52.3210087
12.022,52.3208929
12.0218826,52.3208094
12.0216271,52.3206246
12.021445,52.3205097
12.0211249,52.3203481
12.0209985,52.3202799
12.0208694,52.3202279
12.0206918,52.3201507
12.0203952,52.3199936
12.0200692,52.3198348
12.0196243,52.3196077
12.0193498,52.3194542
12.0192294,52.3193995
12.0190546,52.3193295
12.0188138,52.3192281
12.0186817,52.3191554
12.0185187,52.3190405
12.01846,52.3189633
12.0183792,52.3188978
12.0183102,52.3188744
12.0182001,52.3188493
12.0180019,52.3188125
