Longitude,Latitude
11.9826695,52.3506512
11.982729,52.3506101
11.9831942,52.3503208
11.9836156,52.3500031
11.9842342,52.3492884
11.9848215,52.348831
11.9855433,52.3484257
11.9864982,52.3479629
11.9876234,52.3475166
11.9893348,52.3468419
11.9897215,52.3466895
11.9902595,52.3465088
11.9918823,52.3460651
11.9925503,52.3459391
11.9932541,52.3458816
11.9953432,52.3459802
11.997262,52.3461308
11.9991852,52.3463225
12.0014626,52.3464348
12.0032962,52.3464266
12.003838,52.3464314
12.0039726,52.3464287
12.0040808,52.3464128
12.0042123,52.3463787
12.0042762,52.3463595
12.0043591,52.3463342
12.004432,52.3463198
12.0044906,52.3463171
12.0046071,52.346321
12.005633,52.3462941
12.0074916,52.3461857
12.0096305,52.3459832
12.0114891,52.3455381
12.0118347,52.3453327
12.0119655,52.3436637
12.0120729,52.3434184
