Longitude,Latitude
12.0480405,52.3342425
12.0481451,52.3342588
12.0482456,52.3342914
12.0484384,52.3343778
12.0495254,52.3349355
12.0513199,52.3358428
12.0519885,52.3361837
12.0523926,52.3363892
12.0525977,52.3365158
12.0528212,52.3366361
12.053135,52.3367902
12.0535554,52.3369882
12.0538467,52.3371298
12.0542343,52.3373378
12.0548004,52.3376311
12.0553521,52.3379231
12.0560883,52.3382852
12.056839,52.3386737
12.0573599,52.3389381
12.0579034,52.3392313
12.0583567,52.3394669
12.0589371,52.3397664
12.0597964,52.3401924
12.0601881,52.3403904
12.0615274,52.3410871
12.061993,52.3413252
12.0628318,52.3417625
12.0636809,52.3421872
12.0649718,52.3428636
12.0656503,52.3431877
12.0657837,52.3432571
12.0661745,52.3434653
12.0664624,52.3436401
12.0665716,52.343704
12.0668217,52.3438257
12.0670666,52.3439473
12.0671885,52.3439925
12.0673897,52.3440555
12.0674845,52.3440931
12.0675752,52.3441402
12.0676659,52.3442007
12.0677346,52.344235
12.0680546,52.3443713
12.0683579,52.3445094
12.0684131,52.3445527
12.068658,52.344731
12.0688498,52.3448819
12.069111,52.3450879
