Longitude,Latitude
12.0441064,52.3319151
12.0442119,52.3317257
12.0445795,52.3310648
12.0454902,52.3294752
12.0455929,52.3291042
12.0458918,52.3286961
12.0461206,52.3283251
12.0463635,52.3275231
12.0466577,52.3271891
12.0467696,52.3268584
12.0468912,52.3266783
12.0476426,52.3254576
12.0477127,52.3252098
12.0477432,52.324976
12.0477646,52.3248521
12.0478362,52.3246537
12.0479246,52.3245392
12.0480099,52.3243929
12.0480907,52.3241722
12.0482035,52.3238164
12.0482903,52.3236021
12.0483559,52.3234484
12.0484519,52.3233022
12.048498,52.3232538
12.0485586,52.3231904
12.0487064,52.3230143
12.0488817,52.3227498
12.0489685,52.32253
12.0490093,52.3224049
12.0490384,52.3222693
12.0491074,52.3221507
12.0491817,52.3220071
12.0493294,52.3218589
12.049449,52.3217529
12.0496166,52.3215394
12.0498665,52.3214257
12.0505645,52.321545
12.0514423,52.32164
12.0525914,52.3217126
12.0533687,52.3217443
12.053963,52.3217928
12.0543837,52.3218226
12.0547282,52.3218051
