Longitude,Latitude
12.0545548,52.3129219
12.0545573,52.3131832
12.0545512,52.3133234
12.0545245,52.3138415
12.0544892,52.3144379
12.0544568,52.3148621
12.0544548,52.3153209
12.0544487,52.3160362
12.0544619,52.3163033
12.0544671,52.3164305
12.0544495,52.3165343
12.0543884,52.3167172
12.0542776,52.3169508
12.0539937,52.3175728
12.0537732,52.3180741
12.0537239,52.3181817
12.0535006,52.3185885
12.0534472,52.3192936
12.0538903,52.3206749
12.0547282,52.3218051
12.0557482,52.3232203
12.0557277,52.3245305
12.0557265,52.3246037
12.0540566,52.3267957
12.0528362,52.3279766
12.0524575,52.3282491
12.0519639,52.3292842
12.049893,52.3310743
12.0490623,52.3317803
12.0487255,52.3321207
12.0485142,52.3324604
12.0484117,52.3326709
12.0483373,52.3329002
12.0482292,52.3334905
12.0481929,52.333811
12.0481596,52.3339933
