Longitude,Latitude
12.0929429,52.3468568
12.0930009,52.3469644
12.0930155,52.3470505
12.0928774,52.3472316
12.0927246,52.3474042
12.0925025,52.3476052
12.0922133,52.3478901
12.0915524,52.3484303
12.0905957,52.3491747
12.0903477,52.3494692
12.0901463,52.349685
12.0899399,52.35002
12.0897704,52.3502797
12.0896595,52.3504401
12.0895516,52.3508048
12.0894808,52.3509159
12.0888245,52.3512414
12.0880697,52.3516912
12.0879495,52.3517778
12.0878201,52.3519058
12.0875964,52.3521525
12.0874523,52.3522769
12.087361,52.3523518
12.0872223,52.3524753
12.0871494,52.3525161
12.0870831,52.3525319
12.0870274,52.3525386
12.0869844,52.3525355
12.0869016,52.3525196
