Longitude,Latitude
12.0680835,52.319407
12.0673593,52.319673
12.0668146,52.3198819
12.066334,52.3202932
12.0659388,52.3204172
12.0648493,52.320711
12.0644862,52.3208351
12.0602992,52.3195228
12.0596024,52.3192983
12.0594448,52.3192225
12.0586117,52.3187655
12.0576824,52.318426
12.056123,52.3182562
12.0537239,52.3181817
12.0518949,52.3181235
12.0514193,52.3181162
12.0509365,52.3181171
12.0507611,52.318116
12.050522,52.3181045
12.0503714,52.3180835
12.0502258,52.3180509
12.0501047,52.3180096
12.0498077,52.317876
12.0491008,52.3175595
12.0489343,52.3174737
12.0487942,52.3173821
12.048664,52.3172749
12.0485543,52.3171501
12.0483973,52.3169088
12.0483061,52.316759
12.0482374,52.3166217
12.048183,52.316445
12.0481175,52.3162835
12.0479611,52.315961
12.0478585,52.3158042
12.0476846,52.3155741
12.0475113,52.3153278
12.0473493,52.3150727
12.0470939,52.3145764
12.0470427,52.3144677
12.0470183,52.3143722
12.0470151,52.3141826
