Longitude,Latitude
11.9897215,52.3466895
11.9906073,52.3469576
11.9920235,52.347495
11.993075,52.3477441
11.9943624,52.3479013
11.995092,52.3481111
11.9957572,52.3484912
11.9966187,52.3490915
11.9967133,52.3491557
11.997274,52.3494795
11.9975248,52.3496243
11.9979459,52.3498675
11.998654,52.3503262
11.9992151,52.3508086
11.9996871,52.3512935
12.0012536,52.3526566
12.0016309,52.3529543
12.0017685,52.3530629
12.0027556,52.3536002
12.0039572,52.3542555
12.0053273,52.3550969
12.0056706,52.3555949
12.005971,52.3559619
12.004984,52.3560798
12.0039325,52.3562633
12.0027309,52.3564337
12.0012503,52.3566958
11.9996625,52.3570103
11.9980531,52.35722
