Longitude,Latitude
12.0132876,52.318805
12.0136779,52.3190726
12.0142546,52.3195118
12.0149466,52.3200379
12.0152837,52.3202701
12.0153946,52.3203343
12.0156046,52.3204419
12.0159772,52.3207243
12.0163683,52.3210426
12.0166715,52.3212496
12.0168973,52.3214145
12.017142,52.321628
12.0174954,52.3218453
12.0176062,52.321968
12.0177149,52.3219846
12.0179408,52.321904
12.018313,52.3216778
12.0187605,52.3214286
12.0194213,52.3211487
12.0200382,52.3208406
12.0204418,52.3206284
12.0209985,52.3202799
12.0211827,52.320167
12.0212042,52.3201184
12.0211996,52.3200706
12.0210879,52.3199127
12.0210231,52.3198142
12.021044,52.3195816
12.021182,52.319179
12.0213179,52.3188466
12.0214058,52.3185513
12.021433,52.3182931
12.0214539,52.318072
12.021456,52.3177729
12.0214288,52.3175837
12.0213305,52.3174265
12.0213033,52.3172399
12.0213033,52.317034
12.0213556,52.3168858
12.0214016,52.3167426
12.0214392,52.3165841
12.021366,52.3164358
12.021136,52.3160383
12.0208851,52.3156292
12.0207447,52.3153813
