Longitude,Latitude
12.002766,52.3168543
12.0018263,52.3176097
12.0017765,52.3176407
12.0017161,52.3176699
12.001617,52.3177077
12.0015222,52.3177444
12.0014891,52.3177648
12.0014715,52.3177902
12.0014174,52.317889
12.0013837,52.3179289
12.0013025,52.3179993
12.0000689,52.3189887
11.9987506,52.3200454
11.9961185,52.322157
11.9960521,52.3222085
11.9960121,52.3222327
11.9957935,52.3223339
11.9957499,52.3223554
11.9957162,52.3223794
11.9956831,52.3224134
11.9954955,52.3226575
11.9954618,52.3226938
11.9953919,52.3227528
11.9947844,52.3232298
11.9928216,52.3248079
11.9925693,52.324997
11.9924436,52.3250826
11.9923297,52.3251562
11.9921611,52.325255
11.9917753,52.3254603
11.9909826,52.3258679
11.9894107,52.3266758
11.9893653,52.3267041
11.9893312,52.3267273
11.9892792,52.3267822
11.9892588,52.3268029
11.9892356,52.3268163
11.989115,52.3268858
