Longitude,Latitude
12.0841996,52.3484681
12.0840297,52.348321
12.0839533,52.348302
12.0838648,52.348285
12.0837645,52.3482769
12.0836596,52.3482806
12.0835933,52.348297
12.0835365,52.3483156
12.0831335,52.3484619
12.0829646,52.3485262
12.0826964,52.3486435
12.082541,52.3487049
12.0823596,52.3487459
12.0821615,52.3487654
12.0819176,52.3487552
12.0816662,52.348744
12.0813934,52.3487412
12.0812456,52.3487421
12.0810642,52.3487254
12.0809103,52.3486965
12.0807465,52.3486574
12.0804943,52.3486706
12.0802012,52.3487035
12.0800072,52.3487404
12.0797744,52.3487956
12.0796537,52.3488562
12.0794986,52.3489471
12.0794037,52.3490247
12.0794641,52.3492775
12.0795352,52.3495224
12.0795632,52.349737
12.0796451,52.3498449
12.0797831,52.3499424
