Longitude,Latitude
12.0207447,52.3153813
12.0208643,52.3153231
12.0236832,52.3154871
12.0248526,52.315574
12.0256573,52.3156937
12.0274996,52.3160274
12.029546,52.3164789
12.0314701,52.3178993
12.0327448,52.3187949
12.0358509,52.3202188
12.0380632,52.3212219
12.0403928,52.3223055
12.0433231,52.3235054
12.0435722,52.3236845
12.0443617,52.3240364
12.0453468,52.3244756
12.0476426,52.3254576
12.0478164,52.325547
12.048333,52.3257901
12.0488512,52.3260211
12.0493145,52.3262353
12.0496711,52.3264794
12.0498525,52.3265762
12.0507379,52.3269413
12.0520501,52.3275439
12.0527149,52.3278729
12.0528362,52.3279766
