Longitude,Latitude
12.0214558,52.3133515
12.0232342,52.313497
12.0234841,52.3135161
12.0237238,52.3135323
12.0239429,52.3135418
12.0241589,52.3135444
12.0243717,52.3135391
12.0245964,52.3135279
12.0248661,52.3135098
12.0272691,52.3133194
12.0283979,52.3132323
12.0296418,52.3131389
12.0316476,52.3129861
12.0330499,52.3128787
12.0352185,52.3127091
12.0355242,52.312686
12.0357677,52.3126691
12.0359759,52.312661
12.036142,52.3126585
12.0363163,52.3126654
12.0365061,52.3126798
12.0367226,52.312702
12.0369712,52.3127353
12.0373108,52.3127863
12.0382472,52.3129227
12.0404315,52.3132396
12.0429562,52.3135987
12.0451952,52.3139196
12.0460917,52.3140481
12.0470151,52.3141826
12.0474203,52.3142382
12.047618,52.3142584
12.0478303,52.3142728
12.0480261,52.314279
12.0482014,52.3142779
12.0483943,52.3142715
12.0485512,52.3142571
12.0487829,52.3142308
12.048987,52.3141969
12.0492121,52.314152
12.0511207,52.3137283
12.0526627,52.3133919
12.0534504,52.313214
12.0538231,52.3131237
12.0541923,52.3130259
12.0545548,52.3129219
12.0547747,52.3128535
12.0549603,52.3127901
12.0552844,52.3126748
12.0555364,52.3125674
12.0557312,52.3124747
12.0559159,52.3123788
12.0564953,52.3120631
12.0566469,52.3119778
