Longitude,Latitude
12.0875291,52.3552873
12.0875036,52.3550781
12.0874798,52.3550228
12.0874373,52.3549746
12.0873103,52.3548854
12.0870717,52.3547426
12.086852,52.3546274
12.086779,52.3545873
12.0867553,52.3545641
12.0867504,52.354541
12.0867625,52.3545167
12.086801,52.3544996
12.0868422,52.3544973
12.0870327,52.3544787
12.087198,52.3544511
12.0876959,52.3543547
12.0883512,52.3542274
12.088418,52.3542048
12.0884683,52.3541765
12.0884911,52.3541392
12.0884843,52.3540688
12.0884613,52.3540086
12.0883511,52.3538033
