Longitude,Latitude
12.0164502,52.3177413
12.0175593,52.3183017
12.0184488,52.3187678
12.0195692,52.3193412
12.0211827,52.320167
12.0252037,52.3222256
12.0267818,52.3230332
12.0321951,52.325809
12.0345202,52.327003
12.0376018,52.3285816
12.0380697,52.328822
12.0395211,52.3295634
12.0397442,52.3296767
12.0411453,52.3303957
12.0418628,52.3307638
12.0425526,52.3311178
12.0441064,52.3319151
12.0481596,52.3339933
12.0536125,52.3367835
12.055449,52.3377231
12.05553,52.3377645
12.0581249,52.3390929
12.0590944,52.3395918
12.0621755,52.3411777
12.0633192,52.3417617
12.0666781,52.3434758
12.0674309,52.3438621
12.0686052,52.3444588
12.0694125,52.3448724
12.0696918,52.3450264
12.0699604,52.3451891
12.0701171,52.3452938
12.0702507,52.3453896
12.0703984,52.3455058
12.0705694,52.3456529
12.0707559,52.345834
12.0708486,52.345924
12.0714284,52.3465372
12.0731978,52.34842
