Longitude,Latitude
12.0827701,52.3464795
12.082727,52.3463639
12.0826492,52.3462674
12.0825159,52.3460965
12.0823929,52.3459017
12.0822548,52.3456593
12.0820765,52.3454737
12.081971,52.3452897
12.0819057,52.3451608
12.0817526,52.344923
12.0815668,52.3447052
12.0813609,52.3443923
12.0812529,52.3442036
12.0810621,52.3439474
12.0809516,52.3437188
12.0808728,52.3435238
12.0807858,52.3432663
12.0806829,52.3429564
12.0805172,52.3425391
12.0803364,52.3420728
12.080143,52.3415895
12.0799296,52.3410541
12.0797588,52.3405786
12.0795261,52.3399416
12.079337,52.3395706
12.0792089,52.339207
12.0790633,52.3387437
12.078885,52.3382972
12.0787092,52.3377909
12.0785335,52.3373383
12.0782999,52.3368504
12.0781016,52.3363902
12.0779308,52.3360357
12.0778806,52.335959
12.0775843,52.3358409
12.0773842,52.3358077
12.0772227,52.335781
12.0768285,52.335735
12.076487,52.3356046
12.0763238,52.3354819
12.0763589,52.3352348
12.0764619,52.3350522
12.0764694,52.3349264
12.0764863,52.3347574
