Latitude,Longitude
34.7246924,37.7040648
34.7247113,37.702253
34.7246815,37.7019133
34.7247292,37.6998559
34.724753,37.6994595
34.7248425,37.6991056
34.724926,37.6987281
34.72492,37.6985441
34.7249856,37.6983317
34.7250035,37.6981005
34.7249498,37.6975437
34.7248425,37.6972936
34.7243534,37.6968122
34.7239479,37.6966046
34.7238286,37.6964677
34.7237034,37.6962507
34.7233396,37.6953823
34.7233098,37.6952125
34.7233455,37.6950473
34.7235245,37.6947311
34.7235543,37.6945801
34.7235125,37.6943913
34.7233992,37.6942734
34.7226835,37.6938203
34.7222243,37.6936174
34.7220454,37.6935088
34.7219082,37.6933248
34.7218307,37.6928812
34.7218725,37.6927679
34.7220335,37.6926027
34.7220752,37.692447
34.7221349,37.6920412
34.7222184,37.6915079
34.7222422,37.6910831
34.7221766,37.6907811
34.7219917,37.6903988
34.7216995,37.6899505
34.7215206,37.6896107
34.7214311,37.6893417
34.7212641,37.6891765
34.7206618,37.6888555
34.7198387,37.6882278
34.7196956,37.6880627
34.7195883,37.6877323
34.7195286,37.6874208
34.7196121,37.6872084
34.7202801,37.6865618
34.7204292,37.6863683
34.7206498,37.6857831
34.7206976,37.6854857
34.7206558,37.6852969
34.7204948,37.6850515
34.7202204,37.6848297
34.7199401,37.6846409
34.7196121,37.6842208
34.7195167,37.684032
34.7194392,37.6831447
34.7194332,37.6829087
34.7195286,37.6827294
34.7206856,37.6813889
34.7209123,37.6810821
34.7211091,37.6806762
34.7214669,37.6799965
34.7214967,37.679803
34.7214669,37.679515
34.721288,37.6788589
34.7212105,37.6784105
34.7211508,37.6779432
34.7212105,37.6774995
34.7214192,37.6769425
34.7216995,37.6759985
34.7219977,37.6748703
34.7222959,37.6742
34.722612,37.6735486
34.7228028,37.6731473
34.7231547,37.6724251
34.7236258,37.6713158
34.7240493,37.6705935
34.7255641,37.6682662
34.7260233,37.6675156
34.7261128,37.6673031
34.7261128,37.667152
34.7258206,37.6662315
34.7256476,37.665901
34.7252063,37.6651409
34.7250333,37.6645272
34.7249797,37.6640787
34.725012,37.6638034
34.7250971,37.6635081
34.7254371,37.6629398
34.7255221,37.6627491
34.7255599,37.6624762
34.7254893,37.6621493
34.7255011,37.6615556
34.7254255,37.6608528
34.7253783,37.6606434
34.7252886,37.6605088
34.7251091,37.6604078
34.7249176,37.6603451
34.7234176,37.6600087
34.7221363,37.6597747
34.7217929,37.6597255
34.721729,37.6597163
