Latitude,Longitude
34.7051748,37.6749322
34.7054628,37.6751649
34.7055804,37.6751928
34.7057333,37.6750393
34.7060037,37.674895
34.7062859,37.6748438
34.7068621,37.6748857
34.7072501,37.6749183
34.7075147,37.6749974
34.7078557,37.6751556
34.7085612,37.675351
34.7089316,37.6753371
34.7090962,37.6752626
34.7095136,37.674909
34.7098252,37.6747368
34.7102838,37.6745832
34.7107247,37.6743692
34.7110834,37.6742901
34.7114361,37.6742482
34.7117066,37.6741412
34.7119653,37.6739643
34.7123852,37.6737568
34.7126792,37.6736172
34.7129556,37.6735521
34.7132967,37.6735427
34.7135025,37.6735986
34.7138611,37.673701
34.7141316,37.6737056
34.7143374,37.6736451
34.7145374,37.6735102
34.7146197,37.6733659
34.7146961,37.673189
34.7149549,37.6728865
34.7151665,37.6725049
34.7155135,37.6719557
34.7159133,37.6711644
34.716078,37.6710248
34.7168247,37.6705547
34.7177126,37.6699543
34.7188122,37.6691817
34.7193708,37.6688512
34.7198883,37.6685719
34.7200412,37.6684137
34.7200706,37.6682275
34.7199236,37.6679296
34.7196942,37.6676504
34.7193885,37.6674269
34.7192944,37.6673199
34.7192591,37.6670406
34.7192121,37.6668358
34.7190709,37.6667241
34.7188063,37.6666403
34.7185946,37.6664914
34.7185358,37.6663797
34.7185358,37.6662447
34.7187534,37.6658909
34.7191297,37.6655465
34.7192885,37.6653091
34.7195825,37.6650764
34.7199118,37.66469
34.7203175,37.6642758
34.7207291,37.6636613
34.7207879,37.6634007
34.7207762,37.6632191
34.7207174,37.6629678
34.7207115,37.6628188
34.7207056,37.6625581
34.7206938,37.6622928
34.7208173,37.6616784
34.7209937,37.6612222
34.7212877,37.6609056
34.7214818,37.660361
34.7216699,37.6600445
34.7217929,37.6597255
