Latitude,Longitude
34.7224617,37.6570575
34.7223763,37.6569207
34.7222378,37.6568813
34.7219109,37.6569164
34.7216948,37.6569295
34.7214511,37.6569339
34.7213347,37.6569427
34.7210522,37.6570699
34.7208361,37.6571006
34.7205812,37.657105
34.7202987,37.6571006
34.7200383,37.6571181
34.7197502,37.6570567
34.7188527,37.6568199
34.7182321,37.6566356
34.7169967,37.6567935
34.7157501,37.6568067
34.7147584,37.6568111
34.714498,37.6567716
34.7142265,37.6566049
34.714016,37.656583
34.7138221,37.6565786
34.7133757,37.6566039
