Latitude,Longitude
34.7452246,37.6632054
34.744879,37.663137
34.7444968,37.6631008
34.7441686,37.6630647
34.7437864,37.662989
34.7435163,37.6628871
34.7429596,37.6628015
34.7426978,37.6627226
34.742353,37.6626272
34.7418669,37.662522
34.7414015,37.6623904
34.7406662,37.6621668
34.740126,37.6620845
34.7397687,37.6619925
34.7394987,37.6619431
34.7391538,37.661828
34.7388838,37.6617096
34.7384642,37.6615583
34.7382689,37.6614333
34.7379199,37.6613412
34.7372842,37.6613807
34.736553,37.6614267
34.7363868,37.6615024
34.7363328,37.6616405
34.7363453,37.6621109
