Latitude,Longitude
34.7412262,37.6037565
34.741934,37.6041079
34.742231,37.6041858
34.7424582,37.6042039
34.7426937,37.6041423
34.7428647,37.6038625
34.7430369,37.6037181
34.7432995,37.6036595
34.7435784,37.6036782
34.7441419,37.6037419
34.7444154,37.6038833
34.7445589,37.6040247
34.7447847,37.6043377
34.7448462,37.6045068
34.7449174,37.6048827
34.7450434,37.6052861
34.7450736,37.6056826
34.7449991,37.6061147
34.744876,37.6066206
34.7447646,37.6069961
34.7448725,37.6071935
34.7452193,37.6073922
34.7454776,37.6075559
34.7457064,37.6077781
34.7460975,37.6082691
34.7464296,37.6084854
34.7466952,37.6086199
34.7471527,37.6087602
34.7475674,37.6089549
34.7478902,37.6091888
34.748333,37.6096272
34.748748,37.6100291
34.7491724,37.6103214
34.7497719,37.6106429
34.7500302,37.6108402
34.7502147,37.6110375
34.7503715,37.6114102
34.7504453,37.6118778
34.7504453,37.6123016
34.7503346,37.6126377
34.7496705,37.613478
34.7495229,37.6137776
34.7495229,37.6141722
34.7496705,37.6145595
34.7498365,37.6147787
34.750104,37.6149979
34.750473,37.615239
34.7506759,37.6154874
34.7507958,37.6158162
34.7507681,37.6165761
34.7508788,37.6172702
34.7513216,37.6185415
34.7515706,37.6189872
34.7516906,37.6192137
34.7516813,37.6194841
34.751626,37.6198275
34.7516168,37.6201562
34.7516629,37.6204412
34.7518474,37.6207626
34.7522532,37.6211864
34.7524562,37.6215006
34.7525115,37.6218366
34.7524377,37.6221216
34.7521702,37.6224577
34.7517551,37.6227353
34.7506298,37.6232394
34.7501132,37.6234586
34.7490432,37.6242476
34.748582,37.6246494
34.7465804,37.6271261
34.7461745,37.6275571
34.7457963,37.6278712
34.7449661,37.6282
34.7444404,37.6284118
34.7440253,37.6287259
34.7438223,37.6290474
34.7437117,37.629398
34.7437301,37.6297779
34.7437578,37.6300994
34.7439146,37.6305231
34.7440253,37.6309321
34.7440529,37.6316115
34.7439884,37.6321302
34.7439238,37.6325174
34.7438408,37.6331675
34.7438223,37.6336204
34.7436563,37.634497
34.7435364,37.6349134
34.7432689,37.6357096
34.7431951,37.6360529
34.743149,37.6366811
34.7431029,37.6370244
34.7429737,37.6373823
34.7426232,37.6380763
34.7424479,37.6384634
34.7415901,37.6409834
34.7414425,37.6413194
34.7411566,37.6417503
34.7406308,37.6422835
34.7404279,37.6425903
34.7403079,37.6428678
34.7401327,37.643401
34.7398467,37.6439415
34.7387491,37.6454607
34.7384723,37.645709
34.7376329,37.6462422
34.7370057,37.6467608
34.7368212,37.6469726
34.7366552,37.647272
34.7364246,37.6475203
34.7353177,37.6487473
34.7349671,37.6491125
34.7346351,37.6496383
34.7337957,37.6510406
34.7335097,37.6515007
34.7323936,37.6526472
34.7318175,37.653187
34.7316741,37.6534652
34.7316003,37.6536332
34.7313882,37.6540713
34.7311852,37.6543707
34.7306964,37.6548089
34.7301521,37.6552179
34.7296171,37.6554662
34.7289899,37.6556122
34.7286578,37.6556341
34.7282888,37.6555903
34.7279476,37.6555319
34.7276339,37.6555465
34.726979,37.6557437
34.725909,37.6562037
34.7255305,37.6563065
34.7252633,37.656379
34.7245069,37.6566346
34.7242856,37.6567587
34.7240826,37.6569267
34.7238705,37.6572553
34.7235107,37.6580367
34.7230034,37.6590152
34.7224684,37.6596578
34.7223393,37.6597455
34.7221363,37.6597747
